Timestamp,Milliseconds,X,Y,Z
2018-10-26 19:14:54,8701,-5.6,-17.800001,-6.7000003
2018-10-26 19:14:54,8801,-5.9,-17.5,-7.3
2018-10-26 19:14:54,8901,-4.4,-17.800001,-6.1
2018-10-26 19:14:54,9001,-5.0,-17.6,-8.3
2018-10-26 19:14:54,9102,-4.4,-17.800001,-6.1
2018-10-26 19:14:55,9201,-4.7000003,-18.2,-5.5
2018-10-26 19:14:55,9301,-5.9,-17.5,-6.1
2018-10-26 19:14:55,9401,-4.4,-18.1,-6.1
2018-10-26 19:14:55,9501,-5.6,-16.7,-7.1
2018-10-26 19:14:55,9602,-5.3,-17.300001,-7.1
2018-10-26 19:14:55,9702,-5.9,-17.7,-6.4
2018-10-26 19:14:55,9801,-5.0,-17.7,-6.4
2018-10-26 19:14:55,9901,-5.0,-17.300001,-6.4
2018-10-26 19:14:55,10001,-5.3,-16.800001,-7.4
2018-10-26 19:14:55,10102,-5.0,-18.2,-5.5
2018-10-26 19:14:56,10201,-6.5,-17.7,-7.0
2018-10-26 19:14:56,10301,-6.5,-17.7,-6.4
2018-10-26 19:14:56,10401,-6.8,-17.5,-6.7000003
2018-10-26 19:14:56,10503,-6.2000003,-17.2,-5.5
2018-10-26 19:14:56,10602,-4.6,-18.5,-4.2000003
2018-10-26 19:14:56,10701,-5.6,-17.7,-6.4
2018-10-26 19:14:56,10801,-6.4,-17.6,-4.9
2018-10-26 19:14:56,10901,-5.9,-17.7,-5.8
2018-10-26 19:14:56,11001,-5.6,-17.2,-6.7000003
2018-10-26 19:14:56,11101,-4.6,-18.800001,-4.8
2018-10-26 19:14:57,11201,-5.3,-18.0,-5.8
2018-10-26 19:14:57,11302,-5.3,-18.300001,-5.8
2018-10-26 19:14:57,11401,-5.3,-18.0,-5.8
2018-10-26 19:14:57,11501,-5.3,-18.1,-8.0
2018-10-26 19:14:57,11601,-5.0,-18.7,-6.4
2018-10-26 19:14:57,11701,-4.0,-18.800001,-5.5
2018-10-26 19:14:57,11801,-3.5,-19.300001,-5.8
2018-10-26 19:14:57,11901,-5.3,-18.2,-5.5
